S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,THARAHAI CUTHBERT,Indian National Congress,89387,1667,91054,57.71
2,NANTHINI V S,Bharatiya Janata Party,50008,872,50880,32.25
3,RANI U,All India Anna Dravida Munnetra Kazhagam,5178,89,5267,3.34
4,JEMINI R,Naam Tamilar Katchi,7929,221,8150,5.17
5,OM PRAKASH A,Independent,164,3,167,0.11
6,THANGAPPAN C,Independent,105,5,110,0.07
7,MANAVAI KANNAN M,Independent,175,3,178,0.11
8,MOHAN KUMAR M,Independent,609,8,617,0.39
9,VIJAYA KUMAR C,Independent,142,2,144,0.09
10,SHAJIN R,Independent,285,5,290,0.18
11,NOTA,None of the Above,892,27,919,0.58
